Location,Country,Category,Season,Visitors,Rating,Revenue,Accommodation_Available
Loc_181,Italy,Nature,Mid,98504,2.58,86834,0
Loc_182,USA,Nature,Mid,118566,3.1,110051,0
Loc_183,USA,Adventure,Mid,120870,2.92,174781,1
Loc_184,Italy,Cultural,Mid,120666,2.54,162447,1
Loc_185,Italy,Beach,Mid,126791,4.36,183096,0
Loc_186,France,Adventure,Mid,97726,3.01,98461,0
Loc_187,Japan,Adventure,Mid,146295,3.16,203262,1
Loc_188,India,Beach,High,157776,3.85,162329,1
Loc_189,Italy,Historical,High,160643,4.85,169925,1
Loc_190,France,Nature,High,138982,3.08,203904,1
Loc_191,Italy,Historical,High,138236,2.62,138487,1
Loc_192,Australia,Cultural,Low,117252,4.44,123609,0
Loc_193,France,Cultural,Mid,141502,3.77,209554,1
Loc_194,France,Adventure,High,143055,3.9,116884,1
Loc_195,Italy,Adventure,Mid,128192,2.91,133387,1
Loc_196,USA,Historical,Low,96149,2.66,127679,0
Loc_197,Italy,Nature,Mid,164680,4.97,148230,1
Loc_198,USA,Beach,Mid,150723,4.37,176903,1
Loc_199,Italy,Nature,Low,116341,2.81,117732,1
Loc_200,Italy,Historical,Mid,132520,2.93,183877,1
Loc_201,Italy,Cultural,Mid,105209,2.85,107954,0
Loc_202,Australia,Cultural,Mid,114303,2.75,151621,0
Loc_203,Italy,Cultural,Mid,147359,4.92,219580,1
Loc_204,India,Nature,Mid,123662,4.37,101524,0
Loc_205,India,Beach,Low,144030,4.17,139528,1
Loc_206,Japan,Cultural,Low,106336,3.84,95653,0
Loc_207,Japan,Historical,High,131428,4.55,188234,0
Loc_208,Australia,Urban,Low,137449,3.99,123625,1
Loc_209,India,Adventure,Low,149424,4.82,219542,1
Loc_210,India,Urban,High,134183,4.9,162197,0
Loc_211,Japan,Beach,Low,105066,2.57,128778,1
Loc_212,USA,Adventure,High,156733,4.29,187424,1
Loc_213,France,Beach,Mid,149852,4.1,191173,1
Loc_214,Australia,Nature,Mid,120232,3.74,111051,0
Loc_215,USA,Adventure,High,158522,3.83,137316,1
Loc_216,Australia,Historical,Mid,135201,3.71,160345,1
Loc_217,Japan,Historical,High,107390,2.69,99138,0
Loc_218,USA,Historical,High,153646,4.19,211407,1
Loc_219,Italy,Historical,High,127750,4.75,110778,0
Loc_220,Japan,Cultural,Mid,129363,3.15,110502,1
Loc_221,France,Historical,Mid,147843,3.69,168073,1
Loc_222,France,Cultural,High,158739,4.69,141255,1
Loc_223,Japan,Adventure,Low,121746,4.6,154837,0
Loc_224,Italy,Beach,High,133410,3.71,125669,0
Loc_225,India,Beach,High,151664,4.35,206872,1
Loc_226,Italy,Nature,Mid,143988,3.67,186971,1
Loc_227,Italy,Beach,High,159074,4.5,214623,1
Loc_228,France,Historical,Mid,139010,3.35,161032,1
Loc_229,Australia,Adventure,Mid,157005,4.69,185681,1
Loc_230,USA,Nature,Mid,132733,4.24,112664,0
Loc_231,Australia,Nature,High,147759,3.71,131124,1
Loc_232,USA,Adventure,Low,131019,3.86,145123,1
Loc_233,USA,Cultural,Mid,125567,4.5,133826,0
Loc_234,France,Cultural,Mid,126712,2.73,107080,1
Loc_235,France,Urban,Low,119187,2.63,173053,1
Loc_236,Australia,Historical,High,135144,3.59,126668,1
Loc_237,France,Historical,Low,131122,4.3,189219,1
Loc_238,India,Nature,Mid,158081,4.61,234605,1
Loc_239,Australia,Nature,High,116587,3.18,146516,0
Loc_240,India,Nature,Mid,113973,3.28,142818,0
Loc_241,USA,Nature,High,108305,2.53,119254,0
Loc_242,Italy,Historical,High,112121,2.9,104953,0
Loc_243,Italy,Adventure,Mid,124600,4.39,107048,0
Loc_244,Italy,Cultural,Low,137576,4.6,114917,1
Loc_245,USA,Cultural,High,154259,3.97,173755,1
Loc_246,Italy,Adventure,Mid,131525,3.25,157588,1
Loc_247,USA,Historical,Low,141033,4.3,148318,1
Loc_248,France,Beach,Low,157452,4.92,166062,1
Loc_249,Japan,Urban,Low,152030,4.93,174997,1
Loc_250,Australia,Beach,Mid,96063,2.72,132875,0
Loc_251,USA,Adventure,High,157788,4.2,192656,1
Loc_252,India,Adventure,Low,157370,4.83,221404,1
Loc_253,USA,Urban,Low,121051,2.62,110993,1
Loc_254,Japan,Beach,Mid,151816,4.49,224279,1
Loc_255,France,Beach,Mid,125035,2.56,152369,1
Loc_256,India,Nature,High,151229,3.5,190641,1
Loc_257,Australia,Nature,Mid,126451,4.07,135656,0
Loc_258,USA,Nature,Mid,124403,2.78,162715,1
Loc_259,France,Beach,High,158416,3.52,184978,1
Loc_260,Japan,Beach,Mid,144602,3.8,185286,1
Loc_261,Japan,Adventure,Mid,132697,4.44,134930,0
Loc_262,Japan,Beach,Low,107150,3.18,131124,0
Loc_263,Italy,Cultural,Mid,133744,3.17,182332,1
Loc_264,Italy,Cultural,High,127695,4.39,119498,0
Loc_265,USA,Adventure,Mid,110099,3.07,153310,0
Loc_266,Japan,Adventure,High,142949,2.94,175558,1
Loc_267,Australia,Cultural,Low,95641,2.95,125877,0
Loc_268,India,Cultural,Mid,121545,4.44,181808,0
Loc_269,Australia,Beach,Mid,132727,4.52,198059,0
Loc_270,Japan,Urban,Mid,107087,3.49,125078,0
Loc_271,Australia,Adventure,Mid,104217,2.88,136528,0
Loc_272,India,Cultural,High,120666,3.18,177736,0
Loc_273,India,Cultural,High,161891,4.57,156472,1
Loc_274,India,Cultural,Low,108471,3.49,109818,0
Loc_275,USA,Nature,Mid,110448,3.33,150554,0
Loc_276,India,Beach,Mid,99000,2.75,128831,0
Loc_277,Japan,Historical,High,105363,3.31,99378,0
Loc_278,Italy,Nature,Low,148699,4.45,214714,1
Loc_279,France,Beach,Mid,117017,2.9,154095,0
Loc_280,Australia,Cultural,Mid,133948,4.55,130843,0
Loc_281,Japan,Urban,Mid,135104,3.03,114880,1
Loc_282,Australia,Cultural,Mid,128055,3.34,112511,1
Loc_283,India,Urban,Low,135432,3.93,160615,1
Loc_284,USA,Nature,Mid,129581,3.06,131086,1
Loc_285,France,Historical,High,146468,3.59,187034,1
Loc_286,France,Urban,Low,137292,3.8,180579,1
Loc_287,France,Urban,High,117935,3.01,118738,0
Loc_288,France,Historical,High,104341,2.57,140576,0
Loc_289,Italy,Nature,Low,114630,3.7,132804,0
Loc_290,France,Beach,High,131623,4.24,131274,0
Loc_291,USA,Nature,High,123550,3.51,125473,0
Loc_292,India,Beach,Mid,166651,4.9,155008,1
Loc_293,Japan,Historical,Low,132528,3.05,190698,1
Loc_294,USA,Beach,Mid,125050,4.06,149236,0
Loc_295,Australia,Urban,High,108300,2.96,91393,0
Loc_296,Australia,Nature,Mid,121125,3.13,174065,0
Loc_297,USA,Urban,High,141157,3.65,115806,1
Loc_298,France,Historical,High,104367,2.7,105456,0
Loc_299,India,Nature,Low,139625,4.15,162264,1
Loc_300,Italy,Urban,Mid,145664,4.16,139759,1
Loc_301,USA,Beach,Mid,106651,2.67,117902,0
Loc_302,Italy,Urban,Low,134852,3.82,129783,1
Loc_303,Australia,Historical,High,150292,3.97,216010,1
Loc_304,Italy,Nature,High,170128,4.96,213301,1
Loc_305,Australia,Cultural,Low,105413,3.34,138136,0
Loc_306,Italy,Historical,Mid,126339,2.73,130475,1
Loc_307,Australia,Historical,High,115900,2.93,112016,0
Loc_308,USA,Nature,Mid,138636,4.79,144364,0
Loc_309,Australia,Urban,Low,142690,4.91,139717,1
Loc_310,USA,Urban,Low,133505,3.97,197748,1
Loc_311,USA,Beach,Low,138987,3.52,195590,1
Loc_312,Italy,Adventure,Mid,118367,3.1,169890,0
Loc_313,Australia,Urban,Mid,144843,3.74,149879,1
Loc_314,USA,Urban,High,118848,3.92,161203,0
Loc_315,USA,Beach,Mid,137741,2.78,131009,1
Loc_316,Australia,Historical,High,158933,4.53,155662,1
Loc_317,Australia,Cultural,Mid,139725,2.72,154840,1
Loc_318,France,Cultural,Mid,154513,4.94,143854,1
Loc_319,Australia,Beach,High,143702,3.24,152224,1
Loc_320,USA,Historical,Mid,121492,4.39,133115,0
Loc_321,Australia,Historical,High,147359,4.13,203001,1
Loc_322,India,Cultural,Low,123795,2.98,101870,1
Loc_323,India,Historical,High,167525,4.95,220402,1
Loc_324,Japan,Nature,Low,107754,3.87,146599,0
Loc_325,France,Historical,Mid,122587,2.71,182364,1
Loc_326,Italy,Urban,Low,152908,4.55,172889,1
Loc_327,India,Cultural,Mid,148532,4.33,220151,1
Loc_328,Japan,Adventure,Mid,141410,3.42,199995,1
Loc_329,France,Beach,Low,143658,4.27,172896,1
Loc_330,France,Cultural,High,127691,4.76,127367,0
Loc_331,Australia,Urban,Low,142543,4.04,182972,1
Loc_332,USA,Cultural,Mid,118029,3.89,102902,0
Loc_333,India,Historical,Mid,112331,3.62,108269,0
Loc_334,India,Urban,Mid,145267,4.03,194754,1
Loc_335,France,Beach,Low,137790,4.79,200254,0
Loc_336,Australia,Historical,High,133339,3.07,146609,1
Loc_337,Australia,Beach,Low,149201,4.82,127525,1
Loc_338,Australia,Historical,Low,120084,4.32,170938,0
Loc_339,Japan,Historical,High,143075,3.38,138850,1
Loc_340,USA,Adventure,High,138355,4.49,164937,0
Loc_341,USA,Urban,High,151439,4.69,155760,1
Loc_342,Australia,Beach,Low,135979,4.23,149637,1
Loc_343,Italy,Adventure,Low,96527,2.78,141549,0
Loc_344,France,Nature,Mid,128966,3.67,124207,0
Loc_345,Japan,Urban,Mid,145232,3.95,126790,1
Loc_346,France,Beach,Low,110982,3.73,95508,0
Loc_347,Australia,Urban,Mid,132803,3.66,178615,1
Loc_348,USA,Historical,Mid,143313,3.94,135726,1
Loc_349,India,Urban,Low,99755,2.7,126064,0
Loc_350,Italy,Nature,Mid,133786,4.42,126938,0
Loc_351,USA,Beach,Mid,119770,3.67,110647,0
Loc_352,Italy,Adventure,Mid,158556,4.24,191510,1
Loc_353,India,Adventure,High,134507,2.83,113949,1
Loc_354,India,Beach,Low,152482,4.22,142502,1
Loc_355,Australia,Cultural,Mid,113252,3.97,123648,0
Loc_356,Australia,Historical,Mid,131383,4.94,165139,0
Loc_357,USA,Adventure,Low,130921,3.53,121969,1
Loc_358,Japan,Beach,High,159727,4.52,150909,1
Loc_359,Italy,Cultural,Low,126468,3.17,123883,1
Loc_360,France,Nature,Low,122024,4.18,134942,0
Loc_361,France,Beach,High,163813,4.44,144771,1
Loc_362,Australia,Urban,High,106757,3.05,100432,0
Loc_363,India,Beach,Low,131112,4.1,192776,1
Loc_364,France,Urban,Low,110908,4.37,132360,0
Loc_365,Italy,Adventure,Low,86259,2.51,74799,0
Loc_366,France,Urban,Mid,154463,4.2,219609,1
Loc_367,India,Beach,Mid,142190,4.49,163431,0
Loc_368,France,Beach,Mid,119267,3.59,152120,0
Loc_369,USA,Urban,Low,115122,4.04,102857,0
Loc_370,India,Urban,Mid,132784,4.75,135475,0
Loc_371,Italy,Cultural,Mid,112500,3.7,156529,0
Loc_372,USA,Historical,High,150670,3.94,179117,1
Loc_373,Italy,Urban,Mid,136678,3.44,181799,1
Loc_374,India,Adventure,Mid,152842,4.06,221519,1
Loc_375,France,Historical,Low,148807,4.82,178749,1
Loc_376,Italy,Cultural,Low,124286,2.92,159439,1
Loc_377,Australia,Urban,High,147798,3.78,133661,1
Loc_378,Italy,Urban,High,119296,3.27,159835,0
Loc_379,Japan,Cultural,Low,139678,4.12,114931,1
Loc_380,India,Adventure,Low,144667,3.66,125316,1
Loc_381,Australia,Cultural,Mid,121777,2.79,177637,1
Loc_382,Australia,Beach,Low,138214,3.83,169433,1
Loc_383,India,Cultural,Mid,146052,4.31,204370,1
Loc_384,India,Nature,Mid,110165,3.38,143447,0
Loc_385,Italy,Historical,Mid,112129,3.87,102816,0
Loc_386,USA,Beach,Low,116921,4.06,163052,0
Loc_387,India,Cultural,Mid,155543,4.43,210325,1
Loc_388,France,Historical,High,141572,3.48,113848,1
Loc_389,USA,Urban,Mid,131053,3.35,186034,1
Loc_390,Australia,Urban,Low,106405,3.47,113993,0
Loc_391,Italy,Adventure,High,129615,2.59,181437,1
Loc_392,India,Cultural,High,147836,3.76,201154,1
Loc_393,Japan,Nature,High,111816,2.91,153315,0
Loc_394,India,Beach,Mid,154906,3.89,220193,1
Loc_395,Japan,Historical,Mid,128418,4.21,124224,0
Loc_396,USA,Nature,Mid,107434,2.84,93524,0
Loc_397,Italy,Adventure,Mid,102942,3.18,100913,0
Loc_398,Australia,Historical,Mid,148019,3.71,123913,1
Loc_399,USA,Urban,Mid,122130,4.42,139871,0
Loc_400,India,Adventure,High,159054,4.17,154949,1
Loc_401,India,Historical,Mid,120093,4.05,102149,0
Loc_402,USA,Adventure,High,131485,3.82,176687,0
Loc_403,Japan,Cultural,High,113429,3.8,115292,0
Loc_404,USA,Beach,Mid,151260,3.99,132833,1
Loc_405,Australia,Nature,Mid,129100,2.92,131165,1
Loc_406,Japan,Beach,Mid,152461,4.21,227440,1
Loc_407,Italy,Adventure,Mid,119750,3.65,100278,0
Loc_408,Japan,Historical,Mid,139858,4.94,157966,0
Loc_409,India,Historical,Mid,129733,4.64,114781,0
Loc_410,India,Beach,Mid,105591,2.7,136257,0
Loc_411,Japan,Nature,Low,126001,3.05,182720,1
Loc_412,India,Beach,Mid,107098,2.69,134095,0
Loc_413,Italy,Cultural,Low,110988,3.42,153714,0
Loc_414,USA,Adventure,High,134045,3.47,156726,0
Loc_415,Australia,Adventure,Mid,134835,2.77,134537,1
Loc_416,Japan,Adventure,Mid,126488,4.84,136557,0
Loc_417,France,Nature,Low,96713,2.88,120059,0
Loc_418,India,Beach,High,157141,4.21,178016,1
Loc_419,India,Beach,Mid,119653,3.41,159740,0
Loc_420,USA,Beach,Mid,119657,3.67,154797,0
Loc_421,USA,Adventure,Low,145568,4.39,216910,1
Loc_422,Japan,Historical,High,141227,3.24,147661,1
Loc_423,France,Urban,Low,115586,4.58,127522,0
Loc_424,Australia,Beach,Low,97560,3.28,128383,0
Loc_425,Italy,Nature,High,130150,3.24,190647,1
Loc_426,Australia,Beach,Mid,154331,3.68,183177,1
Loc_427,Australia,Cultural,High,158672,4.48,143271,1
Loc_428,France,Historical,Mid,142077,3.87,137808,1
Loc_429,France,Beach,Low,119622,2.55,145406,1
Loc_430,France,Nature,Mid,152449,4.31,207952,1
Loc_431,Italy,Beach,High,161024,4.28,199543,1
Loc_432,USA,Beach,High,157583,4.2,175694,1
Loc_433,Italy,Nature,Mid,112030,3.4,163850,0
Loc_434,Australia,Adventure,Mid,149402,3.69,121225,1
Loc_435,USA,Nature,Low,145575,4.86,169385,1
Loc_436,Italy,Urban,Low,154740,4.94,228083,1
Loc_437,France,Nature,High,160749,4.46,239889,1
Loc_438,Italy,Adventure,Low,91048,2.62,75007,0
Loc_439,USA,Urban,Mid,160513,4.89,231190,1
Loc_440,USA,Cultural,Low,128582,3.17,189763,1
Loc_441,Australia,Beach,Mid,102723,3.27,151237,0
Loc_442,India,Adventure,Low,135759,3.96,183099,1
Loc_443,India,Adventure,Mid,128692,2.64,179156,1
Loc_444,France,Cultural,Low,125044,4.63,186626,0
Loc_445,Italy,Cultural,Mid,132837,3.19,147872,1
Loc_446,France,Adventure,Low,128050,2.92,154110,1
Loc_447,USA,Nature,Mid,152008,4.38,195945,1
Loc_448,Italy,Beach,High,149854,3.53,179153,1
Loc_449,France,Nature,High,125324,3.32,100345,0
Loc_450,France,Cultural,High,149666,4.09,210442,1
Loc_451,USA,Adventure,Mid,131358,3.44,108293,1
Loc_452,USA,Nature,Mid,145460,3.99,123792,1
Loc_453,France,Urban,High,167071,4.73,161643,1
Loc_454,Japan,Adventure,Low,133893,4.67,186167,0
Loc_455,Australia,Cultural,Low,104536,3.56,86576,0
Loc_456,Japan,Cultural,Mid,136549,4.55,145232,0
Loc_457,France,Nature,Mid,155063,4.34,230628,1
Loc_458,Italy,Nature,Mid,148546,4.23,201183,1
Loc_459,Australia,Cultural,Low,146107,4.27,154639,1
Loc_460,Japan,Beach,Low,124413,4.52,106783,0
Loc_461,India,Nature,Mid,147611,4.15,175683,1
Loc_462,France,Cultural,Low,139745,4.52,209260,1
Loc_463,India,Beach,High,131929,3.99,153021,0
Loc_464,France,Urban,High,134807,3.43,177762,1
Loc_465,Japan,Urban,Mid,115447,3.87,158879,0
Loc_466,Italy,Nature,Mid,152815,4.32,161762,1
Loc_467,Italy,Adventure,Mid,139566,4.99,134299,0
Loc_468,India,Nature,Low,126126,3.31,138918,1
Loc_469,Australia,Nature,High,167427,4.32,234696,1
Loc_470,Australia,Nature,Low,124372,3.19,103952,1
Loc_471,India,Urban,Low,94749,2.93,129334,0
Loc_472,France,Urban,High,129303,4.02,160862,0
Loc_473,India,Nature,Low,103069,3.22,152726,0
Loc_474,India,Historical,Mid,143386,4.23,144554,1
Loc_475,Japan,Adventure,Mid,141309,3.66,139333,1
Loc_476,Australia,Beach,Low,101918,2.97,106795,0
Loc_477,Italy,Urban,High,132239,4.19,135075,0
Loc_478,France,Historical,Low,120034,4.35,149559,0
Loc_479,Japan,Historical,Low,152809,4.34,154816,1
Loc_480,Italy,Beach,Low,132780,4.77,164784,0
Loc_481,Italy,Urban,Mid,154695,4.28,129710,1
Loc_482,USA,Urban,Low,135872,4.04,178545,1
Loc_483,USA,Historical,Low,153262,4.81,214383,1
Loc_484,India,Cultural,Low,125691,3.45,171348,1
Loc_485,India,Historical,Low,113125,2.55,119090,1
Loc_486,USA,Cultural,High,114477,2.91,116141,0
